x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7
-0.560475647	1.276313021	0.7197622	2.05E+00	-4.2484496	-15.5161388	-2.80237823	-3.5520328	-0.560475647	0.3684837	-0.560475647	0.084321072	-0.560475647	-0.6260855
-0.230177489	1.332930973	1.8849113	6.59E+00	5.7661027	-33.533408	-1.15088745	1.2844185	-0.230177489	0.79551088	-0.230177489	0.898264365	-0.230177489	1.1551481
1.558708314	-0.657385066	3.7793542	4.38E+01	-1.8204616	-3.7427849	7.79354157	-1.2334594	1.558708314	2.53403913	1.558708314	2.435362375	1.558708314	2.1886705
0.070508391	0.790474569	4.0352542	5.66E+01	7.6603481	-44.9949099	0.35254196	-1.737713	0.070508391	1.03575413	0.070508391	0.896737092	0.070508391	0.5491945
0.129287735	0.490064838	5.0646439	1.58E+02	8.8093457	-79.8622813	0.64643868	-4.7580928	0.129287735	1.03412588	0.129287735	0.653478452	0.129287735	-0.2981401
1.715064987	-0.733076077	6.8575325	9.51E+02	-9.08887	-67.4428521	8.57532493	-0.2251386	1.715064987	2.71056221	1.715064987	2.692551124	1.715064987	2.6475234
0.460916206	0.225122006	7.2304581	1.38E+03	0.5621098	-15.8034954	2.30458103	-3.9245223	0.460916206	1.38242576	0.460916206	1.068463971	0.460916206	0.2835595
-1.265061235	1.59788446	7.3674694	1.58E+03	7.8483809	-55.7509451	-6.32530617	-8.3397097	-1.265061235	-0.43185543	-1.265061235	-1.099032203	-1.265061235	-2.7669741
-0.686852852	1.534762244	8.6565736	5.75E+03	1.0287003	0.1803182	-3.43426426	-1.9011326	-0.686852852	0.2751245	-0.686852852	0.123033888	-0.686852852	-0.2571926
-0.44566197	1.813260614	9.777169	1.76E+04	-0.8677053	1.4065032	-2.22830985	4.594983	-0.44566197	0.64623769	-0.44566197	1.013836334	-0.44566197	1.9328329
1.224081797	-0.454220582	11.6120409	1.10E+05	9.1366669	-79.6822873	6.12040899	-2.8767348	1.224081797	2.1665471	1.224081797	1.936408316	1.224081797	1.3610614
0.359813827	0.883371902	12.1799069	1.95E+05	-0.9333169	-5.8943149	1.79906914	3.0398216	0.359813827	1.42061026	0.359813827	1.663795988	0.359813827	2.2717603
0.400771451	-0.047924534	13.2003857	5.41E+05	3.5514127	-15.9446061	2.00385725	-8.0894135	0.400771451	1.23898318	0.400771451	0.591830096	0.400771451	-1.0260526
0.110682716	0.867092498	14.0553414	1.27E+06	1.452668	-12.2959983	0.55341358	-0.2778098	0.110682716	1.10512652	0.110682716	1.082901733	0.110682716	1.0273398
-0.555841135	1.763604016	14.7220794	2.48E+06	-7.9415063	-73.7854353	-2.77920567	2.597036	-0.555841135	0.49609959	-0.555841135	0.703862467	-0.555841135	1.2232697
1.786913137	-0.666451792	16.8934566	2.17E+07	7.9964994	-60.9087164	8.93456568	1.5057668	1.786913137	2.81702847	1.786913137	2.937489818	1.786913137	3.2386432
0.497850478	0.544419999	17.2489252	3.10E+07	-5.0782453	-21.3064777	2.48925239	0.528381	0.497850478	1.5084181	0.497850478	1.550688575	0.497850478	1.6563648
-1.966617157	2.710334753	17.0166914	2.46E+07	-9.1588093	-83.3537461	-9.83308578	-3.20353	-1.966617157	-1.03068776	-1.966617157	-1.286970161	-1.966617157	-1.9276762
0.701355902	-0.04123764	19.350678	2.53E+08	-3.4415856	-2.6218369	3.50677951	-4.2485217	0.701355902	1.61638547	0.701355902	1.276503729	0.701355902	0.4267994
-0.472791408	1.063139891	19.7636043	3.83E+08	9.090073	-62.12858	-2.36395704	-5.120644	-0.472791408	0.42479571	-0.472791408	0.015144197	-0.472791408	-1.0089846
-1.067823706	2.114882345	0.4660881	1.59E+00	7.7907863	-65.6066632	-5.33911853	0.588233	-1.067823706	-0.05605905	-1.067823706	-0.009000407	-1.067823706	0.1086462
-0.217974915	0.838985069	1.8910125	6.63E+00	3.8560681	-37.9609501	-1.08987457	-4.7373731	-0.217974915	0.68727762	-0.217974915	0.308287778	-0.217974915	-0.6391868
-1.026004448	1.829781471	2.4869978	1.20E+01	2.8101363	2.1605194	-5.13002224	-2.4527872	-1.026004448	-0.07506019	-1.026004448	-0.27128317	-1.026004448	-0.7618406
-0.728891229	1.626454352	3.6355544	3.79E+01	9.8853955	-104.8130525	-3.64445615	-1.280461	-0.728891229	0.24549955	-0.728891229	0.143062675	-0.728891229	-0.1130295
-0.625039268	2.36258407	4.6874804	1.09E+02	3.114116	-16.5778045	-3.12519634	9.21931	-0.625039268	0.55934693	-0.625039268	1.296891735	-0.625039268	3.1407537
-1.686693311	2.42591335	5.1566533	1.74E+02	4.1706094	-7.1382688	-8.43346655	-3.2597495	-1.686693311	-0.7518883	-1.686693311	-1.012668262	-1.686693311	-1.6646182
0.837787044	0.256367584	7.4188935	1.67E+03	0.8813205	-3.6244559	4.18893522	1.1769329	0.837787044	1.8613257	0.837787044	1.955480331	0.837787044	2.1908669
0.153373118	0.877811222	8.0766866	3.22E+03	1.8828404	-15.7522651	0.76686559	0.3898042	0.153373118	1.1611692	0.153373118	1.192353543	0.153373118	1.2703144
-1.138136937	1.753394283	8.4309315	4.59E+03	-4.2168053	-15.9684118	-5.69068469	-4.8092832	-1.138136937	-0.2343226	-1.138136937	-0.619065254	-1.138136937	-1.5809219
1.253814921	-0.282338156	10.6269075	4.12E+04	-7.0577271	-51.2004248	6.26907461	-0.3565404	1.253814921	2.24668411	1.253814921	2.218160878	1.253814921	2.1468528
0.426464221	1.151356122	11.2132321	7.41E+04	9.2604847	-85.6989341	2.13232111	7.2227543	0.426464221	1.57091931	0.426464221	2.148739651	0.426464221	3.5932905
-0.295071483	1.475673104	11.8524643	1.40E+05	8.0459809	-60.8850047	-1.47535741	2.2575203	-0.295071483	0.75007892	-0.295071483	0.930680544	-0.295071483	1.3821846
0.895125661	0.121367508	13.4475628	6.92E+05	3.8141056	-18.2540016	4.47562831	0.2061646	0.895125661	1.89924895	0.895125661	1.915742122	0.895125661	1.956975
0.878133488	-0.04713222	14.4390667	1.87E+06	5.9093484	-28.4766325	4.39066744	-2.1124842	0.878133488	1.8358838	0.878133488	1.666885071	0.878133488	1.2443882
0.821581082	-0.64287997	15.4107905	4.93E+06	-9.5077263	-92.6017252	4.10790541	-10.2662361	0.821581082	1.61625636	0.821581082	0.794957471	0.821581082	-1.2582898
0.688640254	0.763894631	16.3443201	1.25E+07	-0.4440806	3.1206121	3.44320127	5.6566861	0.688640254	1.80177398	0.688640254	2.254308861	0.688640254	3.3856461
0.553917654	-0.138173682	17.2769588	3.19E+07	5.1691908	-15.7521429	2.76958827	-7.3032004	0.553917654	1.40785365	0.553917654	0.823597618	0.553917654	-0.6370425
-0.061911711	1.357890715	17.9690441	6.37E+07	-5.6718413	-27.8179686	-0.30955855	3.6997376	-0.061911711	1.01208304	-0.061911711	1.308062045	-0.061911711	2.0480096
-0.305962664	2.069604091	18.8470187	1.53E+08	-3.6363798	-16.4825742	-1.52981332	9.5455178	-0.305962664	0.88494769	-0.305962664	1.648589121	-0.305962664	3.5576927
-0.380471001	0.802913737	19.8097645	4.01E+08	-5.3674843	-17.3218115	-1.90235501	-7.2194658	-0.380471001	0.47513968	-0.380471001	-0.102417581	-0.380471001	-1.5463107
-0.694706979	1.975420713	0.6526465	1.92E+00	-7.1439996	-41.101691	-3.47353489	3.5089217	-0.694706979	0.37547145	-0.694706979	0.656185189	-0.694706979	1.3579695
-0.207917278	1.103038282	1.8960414	6.66E+00	-1.7090733	2.5630381	-1.03958639	-1.3109874	-0.207917278	0.76586297	-0.207917278	0.660983977	-0.207917278	0.3987865
